observation_date,Composite_HPI
1/1/2005,100
2/1/2005,100.9
3/1/2005,101.9
4/1/2005,102.8
5/1/2005,103.9
6/1/2005,104.8
7/1/2005,105.4
8/1/2005,106.1
9/1/2005,107
10/1/2005,107.6
11/1/2005,108.1
12/1/2005,108.6
1/1/2006,110
2/1/2006,111.9
3/1/2006,114
4/1/2006,116
5/1/2006,118.3
6/1/2006,120.1
7/1/2006,121.3
8/1/2006,122.2
9/1/2006,123
10/1/2006,123.3
11/1/2006,123.4
12/1/2006,123.2
1/1/2007,124.2
2/1/2007,125.9
3/1/2007,127.8
4/1/2007,129.7
5/1/2007,131.6
6/1/2007,133.1
7/1/2007,134.1
8/1/2007,134.8
9/1/2007,135.3
10/1/2007,135.6
11/1/2007,135.7
12/1/2007,135.6
1/1/2008,136.2
2/1/2008,137.5
3/1/2008,138.7
4/1/2008,139.4
5/1/2008,139.6
6/1/2008,139.4
7/1/2008,138.5
8/1/2008,137.7
9/1/2008,136.6
10/1/2008,135
11/1/2008,133.2
12/1/2008,131.1
1/1/2009,129.6
2/1/2009,128.8
3/1/2009,128.7
4/1/2009,129.4
5/1/2009,130.6
6/1/2009,131.8
7/1/2009,133.2
8/1/2009,134.7
9/1/2009,136.2
10/1/2009,137.5
11/1/2009,138.6
12/1/2009,139.4
1/1/2010,140.8
2/1/2010,142.7
3/1/2010,144.3
4/1/2010,145.2
5/1/2010,145.5
6/1/2010,145.3
7/1/2010,144.5
8/1/2010,143.8
9/1/2010,143.6
10/1/2010,143.4
11/1/2010,143.4
12/1/2010,143.5
1/1/2011,144.3
2/1/2011,145.9
3/1/2011,147.5
4/1/2011,148.9
5/1/2011,150
6/1/2011,150.5
7/1/2011,150.9
8/1/2011,151.1
9/1/2011,151.1
10/1/2011,151.3
11/1/2011,151.1
12/1/2011,150.8
1/1/2012,151.2
2/1/2012,152.6
3/1/2012,154.5
4/1/2012,155.9
5/1/2012,156.9
6/1/2012,157.2
7/1/2012,156.9
8/1/2012,156.6
9/1/2012,156.3
10/1/2012,156
11/1/2012,155.5
12/1/2012,155
1/1/2013,155
2/1/2013,156
3/1/2013,157.5
4/1/2013,159
5/1/2013,160.2
6/1/2013,160.6
7/1/2013,160.8
8/1/2013,161
9/1/2013,161.1
10/1/2013,161.6
11/1/2013,162
12/1/2013,161.8
1/1/2014,162.7
2/1/2014,164.1
3/1/2014,165.8
4/1/2014,167.2
5/1/2014,168.5
6/1/2014,169.5
7/1/2014,169.7
8/1/2014,169.7
9/1/2014,170
10/1/2014,170.7
11/1/2014,170.7
12/1/2014,170.8
1/1/2015,171.2
2/1/2015,172.7
3/1/2015,174.4
4/1/2015,176.2
5/1/2015,177.8
6/1/2015,179.1
7/1/2015,180
8/1/2015,180.5
9/1/2015,181.5
10/1/2015,182.1
11/1/2015,183.1
12/1/2015,183.5
1/1/2016,184.6
2/1/2016,187.5
3/1/2016,190.9
4/1/2016,195
5/1/2016,200.5
6/1/2016,203.9
7/1/2016,206
8/1/2016,207.4
9/1/2016,208.4
10/1/2016,209.8
11/1/2016,210.3
12/1/2016,210.7
1/1/2017,214.2
2/1/2017,218.4
3/1/2017,226.4
4/1/2017,233.4
5/1/2017,236.2
6/1/2017,236.1
7/1/2017,232.3
8/1/2017,230.4
9/1/2017,230.3
10/1/2017,230.2
11/1/2017,229.8
12/1/2017,229.9
1/1/2018,230.6
2/1/2018,233.5
