observation_date,Intrest_rates
1950-01-01,0.510
1950-02-01,0.510
1950-03-01,0.510
1950-04-01,0.510
1950-05-01,0.510
1950-06-01,0.510
1950-07-01,0.510
1950-08-01,0.530
1950-09-01,0.610
1950-10-01,0.620
1950-11-01,0.620
1950-12-01,0.630
1951-01-01,0.630
1951-02-01,0.700
1951-03-01,0.750
1951-04-01,0.750
1951-05-01,0.750
1951-06-01,0.750
1951-07-01,0.770
1951-08-01,0.780
1951-09-01,0.860
1951-10-01,0.920
1951-11-01,0.920
1951-12-01,0.900
1952-01-01,0.890
1952-02-01,0.900
1952-03-01,0.930
1952-04-01,0.970
1952-05-01,1.010
1952-06-01,1.070
1952-07-01,1.110
1952-08-01,1.100
1952-09-01,1.120
1952-10-01,1.190
1952-11-01,1.210
1952-12-01,1.300
1953-01-01,1.340
1953-02-01,1.500
1953-03-01,1.520
1953-04-01,1.530
1953-05-01,1.630
1953-06-01,1.710
1953-07-01,1.770
1953-08-01,1.850
1953-09-01,1.970
1953-10-01,1.910
1953-11-01,1.890
1953-12-01,1.890
1954-01-01,1.810
1954-02-01,1.710
1954-03-01,1.590
1954-04-01,1.600
1954-05-01,1.610
1954-06-01,1.490
1954-07-01,1.350
1954-08-01,1.300
1954-09-01,1.160
1954-10-01,1.300
1954-11-01,1.130
1954-12-01,1.060
1955-01-01,0.880
1955-02-01,1.130
1955-03-01,1.090
1955-04-01,1.250
1955-05-01,1.300
1955-06-01,1.440
1955-07-01,1.430
1955-08-01,1.700
1955-09-01,1.830
1955-10-01,2.200
1955-11-01,2.580
1955-12-01,2.560
1956-01-01,2.530
1956-02-01,2.560
1956-03-01,2.640
1956-04-01,2.890
1956-05-01,2.720
1956-06-01,2.520
1956-07-01,2.650
1956-08-01,2.900
1956-09-01,3.160
1956-10-01,3.340
1956-11-01,3.520
1956-12-01,3.670
1957-01-01,3.700
1957-02-01,3.760
1957-03-01,3.700
1957-04-01,3.750
1957-05-01,3.760
1957-06-01,3.810
1957-07-01,3.810
1957-08-01,4.030
1957-09-01,3.800
1957-10-01,3.800
1957-11-01,3.580
1957-12-01,3.620
1958-01-01,3.250
1958-02-01,2.860
1958-03-01,2.270
1958-04-01,1.580
1958-05-01,1.540
1958-06-01,1.720
1958-07-01,0.870
1958-08-01,1.490
1958-09-01,2.270
1958-10-01,2.830
1958-11-01,2.880
1958-12-01,3.490
1959-01-01,3.280
1959-02-01,4.070
1959-03-01,4.300
1959-04-01,4.760
1959-05-01,4.900
1959-06-01,5.110
1959-07-01,5.470
1959-08-01,5.330
1959-09-01,5.500
1959-10-01,5.020
1959-11-01,4.860
1959-12-01,5.120
1960-01-01,4.600
1960-02-01,4.610
1960-03-01,3.010
1960-04-01,3.260
1960-05-01,3.010
1960-06-01,3.070
1960-07-01,2.920
1960-08-01,2.010
1960-09-01,1.700
1960-10-01,3.030
1960-11-01,3.950
1960-12-01,3.250
1961-01-01,3.040
1961-02-01,3.110
1961-03-01,3.210
1961-04-01,3.280
1961-05-01,3.140
1961-06-01,2.570
1961-07-01,2.550
1961-08-01,2.260
1961-09-01,2.590
1961-10-01,2.500
1961-11-01,2.500
1961-12-01,2.990
1962-01-01,3.070
1962-02-01,3.210
1962-03-01,3.120
1962-04-01,3.070
1962-05-01,3.520
1962-06-01,5.450
1962-07-01,5.470
1962-08-01,4.950
1962-09-01,4.990
1962-10-01,4.160
1962-11-01,3.710
1962-12-01,3.910
1963-01-01,3.650
1963-02-01,3.680
1963-03-01,3.620
1963-04-01,3.660
1963-05-01,3.190
1963-06-01,3.240
1963-07-01,3.430
1963-08-01,3.710
1963-09-01,3.560
1963-10-01,3.590
1963-11-01,3.630
1963-12-01,3.780
1964-01-01,3.770
1964-02-01,3.880
1964-03-01,3.880
1964-04-01,3.700
1964-05-01,3.580
1964-06-01,3.590
1964-07-01,3.670
1964-08-01,3.800
1964-09-01,3.730
1964-10-01,3.700
1964-11-01,3.870
1964-12-01,3.820
1965-01-01,3.740
1965-02-01,3.740
1965-03-01,3.620
1965-04-01,3.770
1965-05-01,3.900
1965-06-01,3.930
1965-07-01,4.050
1965-08-01,4.080
1965-09-01,4.130
1965-10-01,4.150
1965-11-01,4.160
1965-12-01,4.540
1966-01-01,4.630
1966-02-01,4.690
1966-03-01,5.060
1966-04-01,5.080
1966-05-01,5.110
1966-06-01,5.000
1966-07-01,5.020
1966-08-01,5.040
1966-09-01,5.010
1966-10-01,5.190
1966-11-01,5.150
1966-12-01,4.960
1967-01-01,4.680
1967-02-01,4.580
1967-03-01,4.130
1967-04-01,4.000
1967-05-01,4.240
1967-06-01,4.280
1967-07-01,4.320
1967-08-01,4.340
1967-09-01,4.760
1967-10-01,4.950
1967-11-01,5.460
1967-12-01,5.950
1968-01-01,6.290
1968-02-01,6.800
1968-03-01,6.980
1968-04-01,6.990
1968-05-01,6.950
1968-06-01,6.560
1968-07-01,6.030
1968-08-01,5.480
1968-09-01,5.660
1968-10-01,5.570
1968-11-01,5.660
1968-12-01,6.240
1969-01-01,6.380
1969-02-01,6.430
1969-03-01,6.580
1969-04-01,6.800
1969-05-01,6.740
1969-06-01,7.130
1969-07-01,7.620
1969-08-01,7.690
1969-09-01,7.770
1969-10-01,7.600
1969-11-01,7.760
1969-12-01,7.810
1970-01-01,7.780
1970-02-01,7.600
1970-03-01,7.000
1970-04-01,6.780
1970-05-01,6.340
1970-06-01,5.940
1970-07-01,5.700
1970-08-01,5.510
1970-09-01,5.390
1970-10-01,5.010
1970-11-01,4.400
1970-12-01,4.440
1971-01-01,4.680
1971-02-01,4.060
1971-03-01,3.160
1971-04-01,3.000
1971-05-01,3.030
1971-06-01,3.370
1971-07-01,3.680
1971-08-01,3.790
1971-09-01,4.060
1971-10-01,3.470
1971-11-01,3.240
1971-12-01,3.210
1972-01-01,3.360
1972-02-01,3.450
1972-03-01,3.570
1972-04-01,3.640
1972-05-01,3.730
1972-06-01,3.500
1972-07-01,3.460
1972-08-01,3.500
1972-09-01,3.620
1972-10-01,3.570
1972-11-01,3.680
1972-12-01,3.650
1973-01-01,3.900
1973-02-01,3.990
1973-03-01,4.460
1973-04-01,4.900
1973-05-01,5.180
1973-06-01,5.480
1973-07-01,5.740
1973-08-01,6.180
1973-09-01,6.500
1973-10-01,6.530
1973-11-01,6.430
1973-12-01,6.350
1974-01-01,6.220
1974-02-01,6.070
1974-03-01,6.510
1974-04-01,7.640
1974-05-01,8.630
1974-06-01,8.750
1974-07-01,9.100
1974-08-01,9.110
1974-09-01,8.940
1974-10-01,8.310
1974-11-01,7.490
1974-12-01,7.120
1975-01-01,6.400
1975-02-01,6.260
1975-03-01,6.330
1975-04-01,6.850
1975-05-01,6.870
1975-06-01,6.990
1975-07-01,7.440
1975-08-01,7.870
1975-09-01,8.410
1975-10-01,8.160
1975-11-01,8.520
1975-12-01,8.640
1976-01-01,8.590
1976-02-01,8.790
1976-03-01,9.070
1976-04-01,8.990
1976-05-01,8.940
1976-06-01,8.980
1976-07-01,9.070
1976-08-01,9.130
1976-09-01,9.110
1976-10-01,9.010
1976-11-01,8.590
1976-12-01,8.140
1977-01-01,8.040
1977-02-01,7.650
1977-03-01,7.540
1977-04-01,7.580
1977-05-01,7.050
1977-06-01,7.070
1977-07-01,7.140
1977-08-01,7.140
1977-09-01,7.100
1977-10-01,7.240
1977-11-01,7.260
1977-12-01,7.170
1978-01-01,7.130
1978-02-01,7.300
1978-03-01,7.730
1978-04-01,8.190
1978-05-01,8.200
1978-06-01,8.260
1978-07-01,8.660
1978-08-01,8.800
1978-09-01,9.170
1978-10-01,9.850
